Artist,Listeners,Daily Trend,Peak,PkListeners
Ranveer Singh,"9,119,186","82,163",962,"9,119,186"
The Who,"9,116,666","9,768",937,"9,116,666"
Asha Bhosle,"9,113,946","18,636",964,"9,113,946"
Kavita Krishnamurthy,"9,113,938","-10,482",955,"9,124,420"
Vulgo FK,"9,106,488","17,038",966,"9,106,488"
Karan Aujla,"9,081,861","13,261",967,"9,081,861"
Ãngela Aguilar,"9,075,992","-55,196",619,"10,830,921"
Saweetie,"9,062,270","-15,412",703,"10,180,323"
Jon Pardi,"9,060,857","23,629",849,"9,868,772"
Capital Cities,"9,060,812","32,463",918,"9,333,131"
PolimÃ¡ Westcoast,"9,056,736","-26,116",415,"14,509,409"
Jimin,"9,050,703","-26,282",374,"15,723,792"
Rajat Nagpal,"9,050,536","-1,054",962,"9,084,412"
Willy William,"9,048,318","-49,494",780,"10,376,125"
Sajid-Wajid,"9,040,861","22,548",942,"9,124,404"
Oliver Anthony Music,"9,040,509","168,632",977,"9,040,509"
Micro TDH,"9,024,902","27,656",732,"10,282,823"
HUGEL,"9,008,768","-13,432",946,"9,063,732"
Sachet-Parampara,"9,006,803","-4,842",793,"10,271,926"
Simple Minds,"8,995,075","-12,690",937,"9,234,833"
ScHoolboy Q,"8,991,045","8,071",829,"9,019,673"
Benny Benassi,"8,990,809","-27,161",896,"9,259,413"
Duran Duran,"8,981,644","9,097",968,"8,981,644"
Beastie Boys,"8,963,032","-28,139",776,"10,144,142"
Deftones,"8,960,980","14,626",972,"8,960,980"
Lykke Li,"8,941,780","14,172",860,"8,941,780"
MAX,"8,940,330","20,319",750,"9,703,746"
"Tito ""El Bambino""","8,936,710","26,032",989,"8,936,710"
Andy Grammer,"8,933,805","-13,903",733,"9,853,235"
Sufjan Stevens,"8,929,085","22,575",943,"8,929,085"
Paloma Faith,"8,919,709","10,156",579,"11,429,573"
NATTAN,"8,914,591","28,672",884,"8,914,591"
Dread Mar I,"8,911,243","-75,804",912,"9,302,106"
Blake Shelton,"8,906,722","-9,063",960,"8,987,221"
Roop Kumar Rathod,"8,904,481","-17,628",975,"8,971,170"
Guru Randhawa,"8,894,713","3,202",715,"10,872,244"
Joey Bada$$,"8,892,251","2,114",772,"9,716,641"
Sublime,"8,883,246","-11,176",916,"9,326,078"
Diego & Victor Hugo,"8,870,831","76,911",994,"8,870,831"
The Verve,"8,869,659","-4,523",967,"8,926,326"
Alan Jackson,"8,867,885","12,839",1002,"8,867,885"
Internet Money,"8,862,363","-4,866",587,"11,545,527"
Fetty Wap,"8,857,960","3,910",831,"9,053,656"
Men At Work,"8,853,821","55,002",1005,"8,853,821"
John Denver,"8,844,512","-9,326",851,"9,898,171"
MÃ¶tley CrÃ¼e,"8,840,068","-3,220",924,"9,165,803"
Vacations,"8,837,886","15,166",811,"9,516,804"
Nathan Dawe,"8,837,246","-28,523",895,"9,508,252"
Odetari,"8,829,162","12,568",1010,"8,829,162"
FINNEAS,"8,825,874","-5,127",992,"8,847,886"
Javed-Mohsin,"8,819,514","-3,102",782,"10,392,053"
Chicago,"8,818,009","25,112",824,"10,005,709"
Missy Elliott,"8,801,557","46,457",622,"11,145,049"
dhruv,"8,798,928","-8,302",795,"9,512,222"
LMFAO,"8,794,691","-12,313",905,"9,102,613"
Ella Eyre,"8,793,489","-12,755",825,"9,634,618"
Juan MagÃ¡n,"8,785,089","11,455",986,"8,785,089"
Miguel BosÃ©,"8,777,253","-16,817",653,"11,632,240"
The Doobie Brothers,"8,772,139","-11,780",946,"9,094,086"
Thirty Seconds To Mars,"8,754,139","14,701",968,"8,871,576"
Surf Curse,"8,737,310","27,901",837,"9,176,404"
Soft Cell,"8,734,889","16,760",1018,"8,734,889"
Norah Jones,"8,732,547","-1,314",823,"8,867,934"
The Outfield,"8,729,389","28,290",945,"9,178,694"
Kodaline,"8,721,488","8,526",836,"9,358,952"
Aya Nakamura,"8,707,829","2,274",734,"10,095,739"
The Cardigans,"8,700,371","12,140",1028,"8,700,371"
Richy Mitch & The Coal Miners,"8,698,174","47,643",1029,"8,698,174"
alt-J,"8,692,531",901,843,"9,522,225"
Rvfv,"8,688,100","79,856",880,"9,583,453"
Miggy Dela Rosa,"8,680,113","-36,694",581,"11,442,944"
Two Feet,"8,672,429","25,521",856,"8,773,770"
Nikhita Gandhi,"8,671,895","3,869",683,"10,158,586"
Anggi Marito,"8,668,727","-22,120",887,"9,510,926"
Ali Gatie,"8,667,629","-19,089",756,"9,794,001"
The Jackson 5,"8,667,464","27,003",886,"9,341,813"
King Von,"8,651,347","32,665",857,"9,777,031"
VIZE,"8,642,634","-23,498",916,"9,126,611"
Creeds,"8,642,479","16,257",1040,"8,642,479"
Steve Miller Band,"8,635,996","23,491",1040,"8,635,996"
Talking Heads,"8,633,094","4,845",835,"9,941,912"
The MarÃ­as,"8,615,841","-22,459",887,"9,350,682"
Of Monsters and Men,"8,606,023","12,497",995,"8,606,023"
Kenny Chesney,"8,604,177","-20,908",880,"9,602,722"
Tiara Andini,"8,600,932","10,194",962,"8,967,970"
Ricardo Arjona,"8,561,463","-13,074",838,"9,021,148"
Hugo & Guilherme,"8,551,755",-44,826,"9,528,511"
LANY,"8,534,453","-13,942",768,"9,300,075"
Zack Tabudlo,"8,533,787","-2,390",993,"8,641,464"
Sandro Cavazza,"8,523,025","-16,454",960,"8,984,668"
Standly,"8,521,204","-23,407",438,"13,833,044"
Mahalakshmi Iyer,"8,518,616","-21,844",1022,"8,659,677"
Duncan Laurence,"8,507,203","9,661",847,"9,233,454"
Maggie Rogers,"8,495,392","-17,247",1048,"8,522,652"
ACRAZE,"8,491,332","-22,523",577,"11,380,380"
Montell Fish,"8,480,575","7,832",1007,"8,480,575"
Grey,"8,479,073","-13,226",913,"8,679,493"
Bakermat,"8,470,425","25,554",1028,"8,524,206"
George Strait,"8,453,718","25,326",1060,"8,453,718"
JosÃ© JosÃ©,"8,451,387","-2,005",893,"8,457,655"
Dynoro,"8,443,837","-21,768",925,"8,527,596"
Tom Grennan,"8,443,009","-29,338",632,"10,804,758"
Gerardo Coronel,"8,435,290","-21,027",806,"9,613,040"
Paul Simon,"8,427,600","-17,893",932,"9,120,134"
Men I Trust,"8,422,936","15,261",1066,"8,422,936"
Old Dominion,"8,414,360","-2,188",973,"8,895,218"
Supernova Ent,"8,413,196",-511,1046,"8,483,150"
Haze,"8,411,986","-21,714",1019,"8,597,155"
Sheryl Crow,"8,407,938","33,317",1069,"8,407,938"
Davido,"8,384,146","-7,878",1003,"8,713,977"
Dj Brunin XM,"8,380,916","71,833",1072,"8,380,916"
Dido,"8,380,069","-15,095",1039,"8,519,938"
LUM!X,"8,371,785","-10,957",830,"9,242,972"
Stray Kids,"8,369,900","17,281",887,"9,540,156"
Darius Rucker,"8,357,257","-20,284",1070,"8,377,541"
Starship,"8,344,274","-4,023",1054,"8,437,754"
Cheat Codes,"8,329,659","-9,674",608,"10,975,050"
Intense,"8,323,154",-50,1054,"8,354,447"
Ray Charles,"8,307,733","22,422",954,"8,879,777"
America,"8,301,858","-7,099",836,"9,987,492"
Lenin RamÃ­rez,"8,298,740",68,796,"9,012,853"
Deorro,"8,287,012","-1,755",952,"9,060,314"
Lauren Spencer Smith,"8,280,624","7,022",904,"9,427,721"
Calle 13,"8,280,623","-23,880",1033,"8,573,634"
Pailita,"8,274,728","-1,996",585,"11,280,046"
Gerardo Ortiz,"8,273,401","18,609",888,"8,801,149"
Mainstreet,"8,271,320","16,434",970,"8,436,076"
Fugees,"8,267,043","13,521",1062,"8,267,043"
Rekha Bhardwaj,"8,261,857","30,530",932,"9,098,811"
HARDY,"8,259,284","-9,042",947,"8,439,819"
Carlos Rivera,"8,256,388","15,416",847,"8,754,994"
Blxst,"8,254,144","11,103",771,"9,488,271"
Bibi Babydoll,"8,235,771","69,933",1094,"8,235,771"
Mc Paiva ZS,"8,226,490","25,652",897,"8,319,214"
Dei V,"8,223,830","-161,605",1072,"8,385,435"
The Vamps,"8,202,829","12,170",871,"8,639,951"
OMI,"8,189,540","-2,557",1014,"8,644,180"
ZÃ© Felipe,"8,185,635","-18,178",600,"10,925,468"
Tom Petty and the Heartbreakers,"8,183,763","23,534",957,"9,008,396"
LiL CaKe,"8,181,885","-69,874",470,"13,451,768"
Bvga Beatz,"8,180,663","-1,690",1084,"8,243,029"
Mabel,"8,176,213","-14,734",749,"9,481,688"
Santhosh Narayanan,"8,168,323",-978,983,"8,605,615"
Abhijeet,"8,166,513","11,538",908,"9,303,119"
Varun Jain,"8,157,904","-57,655",817,"10,154,680"
Alan Menken,"8,137,451","13,443",753,"10,625,887"
Lee Brice,"8,137,236","-11,221",1012,"8,632,311"
Tito Double P,"8,130,307",-302,1024,"8,561,872"
Miranda Lambert,"8,126,024","3,349",847,"9,945,780"
Iron Maiden,"8,124,167","20,608",937,"8,544,793"
Robert Miles,"8,120,653","-6,541",996,"8,703,859"
Willie Nelson,"8,118,773","2,815",1063,"8,118,773"
Dusty Springfield,"8,111,448","19,817",1114,"8,111,448"
MKTO,"8,109,415","-11,286",1020,"8,268,756"
Ha*Ash,"8,106,767","11,551",978,"8,106,767"
Sash!,"8,106,511","22,084",1089,"8,199,995"
Niklas Dee,"8,099,854","62,492",1118,"8,099,854"
JP Saxe,"8,087,369","-49,735",898,"8,627,780"
Omar Apollo,"8,084,417","29,283",592,"11,377,789"
Casper Magico,"8,078,984","-19,877",936,"9,193,558"
Cody Johnson,"8,078,447","10,247",1122,"8,078,447"
Elderbrook,"8,077,241","15,583",1057,"8,077,241"
American Authors,"8,071,697","-4,968",1078,"8,209,997"
WIU,"8,068,432","-61,560",701,"9,867,079"
Mc Daniel,"8,065,244","157,771",872,"8,544,197"
Jessie Murph,"8,054,504","-35,662",944,"9,191,410"
Oh Wonder,"8,051,793","53,565",944,"9,090,385"
Haricharan,"8,047,463",986,1081,"8,073,718"
Gminxr,"8,045,882","7,904",1128,"8,045,882"
aespa,"8,043,255","47,202",1069,"8,071,007"
Keith Urban,"8,034,893","-28,142",909,"9,049,969"
BYOR,"8,029,798","-26,975",740,"9,536,786"
La Bouche,"8,015,450","-22,953",1073,"8,250,843"
UB40,"8,006,128","-29,735",1050,"8,392,416"
JP Cooper,"7,998,244","-15,659",826,"8,964,796"
Nina Simone,"7,984,417","-5,713",1027,"8,037,059"
Beach Bunny,"7,976,203","52,126",1130,"7,976,203"
Shweta Mohan,"7,976,095","-4,699",968,"8,062,604"
Selena,"7,967,272","2,274",947,"8,376,374"
John Travolta,"7,966,275","26,403",1080,"8,234,398"
Rashmi Virag,"7,965,128","-14,938",880,"9,440,437"
Victoria MonÃ©t,"7,961,706","79,229",1140,"7,961,706"
DJ 900,"7,958,328","-16,127",1018,"8,645,994"
MC Hariel,"7,952,216","5,946",1110,"7,952,216"
Sin Bandera,"7,951,414","23,545",1050,"8,194,841"
Majid Jordan,"7,941,253","23,716",1117,"7,941,253"
Murilo Huff,"7,938,749","47,751",1148,"7,938,749"
Years & Years,"7,938,369","-1,404",863,"8,720,570"
Diana Ross,"7,932,655","-4,931",957,"8,331,381"
Gryffin,"7,931,217","-21,070",654,"10,446,335"
Neeraj Shridhar,"7,927,290","6,549",822,"9,759,193"
Boston,"7,911,611","-1,558",1081,"8,170,775"
Brooks & Dunn,"7,911,538","-5,392",1024,"8,573,894"
VINAI,"7,909,742","58,963",1155,"7,909,742"
4 Non Blondes,"7,906,098","4,839",1148,"7,906,098"
Jay Sean,"7,903,833",152,995,"8,063,447"
Parmish Verma,"7,895,534","-1,188",1156,"7,896,722"
Cali Y El Dandee,"7,894,580","19,244",1004,"7,894,580"
Why Don't We,"7,893,717","52,313",881,"9,228,866"
Ana Gabriel,"7,891,142","-6,246",1013,"8,004,968"
Belinda,"7,876,933",-865,911,"8,261,049"
Skillet,"7,859,277","-22,331",1067,"8,228,762"
Keyshia Cole,"7,858,105","37,783",1164,"7,858,105"
Lady A,"7,845,144","-34,072",878,"8,478,872"
Patrick Watson,"7,837,595","2,985",928,"8,684,924"
IVE,"7,834,887","-29,791",608,"11,793,543"
Mario,"7,832,468","5,840",1070,"8,224,894"
Pineapple StormTv,"7,828,956","-31,277",1118,"8,011,329"
Freddie Dredd,"7,828,226","-7,414",651,"10,375,038"
J Hus,"7,824,659","-22,574",594,"12,569,449"
The Animals,"7,817,616","10,353",1125,"7,952,143"
Mike WiLL Made-It,"7,813,540","78,964",1173,"7,813,540"
El Jordan 23,"7,812,264","-2,650",1152,"7,819,361"
Omega,"7,808,481","-19,709",1062,"8,303,230"
ZECCA,"7,806,625","-38,078",1104,"8,088,463"
Luny Tunes,"7,800,306","-5,556",1153,"7,813,052"
Haddaway,"7,800,181","-16,642",1027,"8,484,048"
Shaarib Toshi,"7,784,926","-1,143",963,"8,923,040"
Antara Mitra,"7,784,493","23,673",1002,"8,673,836"
Sam Cooke,"7,781,786","-2,077",1040,"8,272,187"
Iggy Azalea,"7,781,657","-4,794",1020,"8,008,146"
Nusrat Fateh Ali Khan,"7,778,749","88,698",997,"8,542,660"
Powfu,"7,778,111","13,644",913,"8,230,459"
George Harrison,"7,766,172","2,607",1002,"8,521,426"
Etta James,"7,760,975","-3,994",1070,"7,780,859"
Caralisa Monteiro,"7,753,051","7,782",695,"10,073,438"
Jul,"7,744,953","-16,142",1032,"8,479,209"
John Summit,"7,731,291","21,913",1095,"7,731,291"
Masked Wolf,"7,731,075","-3,336",924,"8,528,561"
Crazy Mano,"7,730,113","24,986",1167,"7,730,113"
Audioslave,"7,718,558","-10,230",1128,"7,797,330"
Kavita Seth,"7,711,859",-891,1110,"7,918,741"
GAMPER & DADONI,"7,710,169","-8,908",1142,"7,837,654"
Brando,"7,706,875","19,860",1124,"7,925,404"
Virgoun,"7,705,521",-508,1193,"7,706,029"
Palak Muchhal,"7,704,874","26,129",913,"8,770,113"
David Bisbal,"7,689,627","11,518",954,"8,076,574"
Novo Amor,"7,688,177","16,929",1080,"7,933,042"
Baco Exu do Blues,"7,685,466","43,695",1086,"7,819,392"
Wallows,"7,683,386","78,789",963,"8,772,525"
Jungle,"7,678,435","2,556",1201,"7,678,435"
Axwell /\ Ingrosso,"7,674,902","-11,967",1172,"7,728,680"
Def Leppard,"7,672,897","-3,014",994,"8,333,121"
Two Door Cinema Club,"7,660,633","15,369",1200,"7,660,633"
Naresh Iyer,"7,657,475","12,049",1204,"7,657,475"
Nick Jonas,"7,656,611","4,960",844,"8,943,545"
Bob Seger,"7,650,690","43,244",1206,"7,650,690"
Tion Wayne,"7,646,535","24,249",902,"8,886,575"
Cascada,"7,633,823","4,062",1072,"7,761,486"
Kenny Rogers,"7,625,035","-15,465",1082,"7,822,977"
Connor Price,"7,622,811","-6,247",908,"8,497,650"
Queens of the Stone Age,"7,621,932","-12,735",1037,"8,472,804"
Tz da Coronel,"7,620,486","5,282",1206,"7,620,486"
Laura Pausini,"7,615,297","-13,734",827,"9,040,595"
Guaynaa,"7,611,074","-12,123",923,"8,534,285"
Marc SeguÃ­,"7,596,817","-4,166",1213,"7,600,983"
HAIM,"7,591,333","-66,276",920,"9,332,787"
Wall Hein,"7,591,186","-39,761",990,"8,785,923"
Natasha Bedingfield,"7,586,238","13,453",1214,"7,586,238"
Joan Jett & the Blackhearts,"7,580,144","37,452",1214,"7,580,144"
Lainey Wilson,"7,573,256","4,682",1189,"7,626,700"
Vintage Culture,"7,569,887","13,499",1053,"7,849,803"
Julian Perretta,"7,565,070","-19,654",1155,"7,755,492"
RÃ­o Roma,"7,550,315",507,1021,"7,654,075"
Pamungkas,"7,549,092","-8,953",1170,"7,641,250"
Jelly Roll,"7,544,680","-13,925",1150,"7,795,926"
Mother Mother,"7,542,393","10,464",1008,"7,933,220"
Ilaiyaraaja,"7,539,060","3,469",1168,"7,551,673"
Alice In Chains,"7,538,490","13,875",1160,"7,594,340"
Trey Songz,"7,535,981","39,295",1091,"7,570,205"
Rich Brian,"7,532,714",698,919,"8,254,977"
Neil Diamond,"7,529,562","-3,425",1102,"8,108,826"
Lil Mosey,"7,524,816","4,955",939,"8,289,306"
The Paper Kites,"7,524,426","25,623",1235,"7,524,426"
Rod Wave,"7,523,338","21,550",925,"8,562,500"
BoyWithUke,"7,515,875","-18,892",743,"9,580,542"
Pepe Aguilar,"7,500,285","-24,930",1185,"7,643,143"
MIKA,"7,498,963","-11,563",1168,"7,513,747"
Hiphop Tamizha,"7,498,378","5,253",1240,"7,498,378"
Cristian Castro,"7,495,718",192,1067,"7,542,953"
Raim Laode,"7,492,300","-8,180",913,"8,878,058"
AlemÃ¡n,"7,484,783","41,995",918,"8,226,286"
The Temper Trap,"7,478,706",-408,1176,"7,498,017"
Genesis,"7,477,033","2,925",1096,"7,649,870"
MF DOOM,"7,472,553","4,671",1229,"7,472,553"
Soolking,"7,469,582","5,586",1224,"7,491,404"
Ella Mai,"7,467,769","11,925",917,"8,167,244"
Jon Z,"7,467,728","20,667",1249,"7,467,728"
Carlos Baute,"7,465,000","-23,702",1183,"7,658,070"
The Wanted,"7,461,981","3,830",1178,"7,506,378"
Rise Against,"7,461,922","-1,985",1158,"7,713,857"
Jaideep Sahni,"7,460,475","11,993",1198,"7,460,475"
Dennis Lloyd,"7,459,916","35,680",1254,"7,459,916"
Alisha Chinai,"7,450,826","-16,172",1238,"7,477,259"
Kevin Kaarl,"7,449,806","14,477",1052,"7,635,316"
Iyaz,"7,442,603","-4,159",1019,"8,556,472"
Ricardo Montaner,"7,441,261","-21,816",1040,"7,854,090"
La Arrolladora Banda El LimÃ³n De Rene Camacho,"7,436,924","-6,503",1068,"7,945,891"
Chris Jedi,"7,433,356","-16,871",767,"9,356,538"
MÃ,"7,427,902","-25,176",1180,"7,669,700"
Franz Ferdinand,"7,425,790","-14,544",1177,"7,513,658"
Leo Santana,"7,424,473","-39,578",489,"12,793,052"
Mc IG,"7,424,060","91,484",1187,"7,424,060"
Melody,"7,419,451","8,981",1159,"7,720,840"
Neon Trees,"7,410,573","-6,270",1170,"7,521,599"
Kishore Kumar,"7,398,777","14,726",1265,"7,398,777"
Manuel Medrano,"7,392,499","-60,784",1144,"7,828,358"
RocÃ­o DÃºrcal,"7,388,763","3,693",1201,"7,461,701"
Roy Orbison,"7,388,425","-15,762",1181,"7,636,001"
Young the Giant,"7,385,436","-48,381",1181,"7,686,796"
Franco De Vita,"7,378,841","-6,171",1167,"7,389,554"
Trinix,"7,374,660","5,808",1270,"7,374,660"
Sleeping At Last,"7,370,266","6,441",1270,"7,370,266"
Tinashe,"7,367,881","78,049",1088,"7,367,881"
Incubus,"7,359,385","6,064",1215,"7,431,933"
Beck,"7,359,167","13,814",1214,"7,510,815"
Chuck Berry,"7,353,276","6,213",1185,"7,657,716"
Ludovico Einaudi,"7,346,111","5,407",919,"8,279,959"
Johann Sebastian Bach,"7,343,195","20,541",942,"8,173,764"
Feby Putri,"7,341,988","2,077",1214,"7,489,978"
ZoÃ©,"7,340,262","-5,901",1153,"7,607,862"
MatuÃª,"7,330,801","-23,855",920,"9,088,979"
Nakash Aziz,"7,330,453","48,175",1244,"7,330,453"
Hindia,"7,329,545","20,929",1285,"7,329,545"
Gazo,"7,329,253","26,870",1286,"7,329,253"
Kanii,"7,328,172","-6,816",961,"8,387,470"
JENNIE,"7,322,686","36,907",1172,"7,716,100"
Kenshi Yonezu,"7,322,583","-31,314",1024,"7,785,393"
Ikky,"7,319,262","34,374",1220,"7,339,621"
BONES,"7,310,305","-21,165",994,"7,968,560"
Edward Maya,"7,309,240","-2,558",1149,"7,804,662"
Sofi Tukker,"7,308,618","-13,574",972,"8,283,427"
KAYTRANADA,"7,302,087","-14,658",894,"9,416,102"
Fitz and The Tantrums,"7,299,169","-8,900",1253,"7,368,380"
Fivio Foreign,"7,298,121","-9,339",706,"10,141,150"
Lil Jon,"7,297,027","9,848",1228,"7,431,810"
SEVENTEEN,"7,288,318","7,698",889,"9,240,435"
Jarabe De Palo,"7,276,410","-23,558",1142,"7,399,256"
Simple Plan,"7,268,208","-6,104",1169,"7,473,014"
Omah Lay,"7,259,159","-32,606",913,"9,345,648"
Whethan,"7,258,084","98,319",1152,"7,755,433"
Gracie Abrams,"7,249,522","-5,825",922,"8,264,007"
DVRST,"7,246,959","7,616",792,"9,129,451"
*NSYNC,"7,246,621","9,522",1185,"7,437,447"
Los Dos Carnales,"7,239,280","61,410",1107,"7,552,257"
Leona Lewis,"7,227,033",411,1113,"7,543,658"
Shashaa Tirupati,"7,221,220","6,690",797,"8,962,957"
The Kooks,"7,219,432",13,1222,"7,312,391"
PEDRO SAMPAIO,"7,218,461","-11,742",934,"8,176,180"
Cole Swindell,"7,214,084","-45,881",1065,"8,270,647"
Filipe Ret,"7,208,354","2,257",1118,"7,390,235"
Stebin Ben,"7,205,929","45,847",1171,"7,205,929"
Omar Montes,"7,202,554","84,226",1228,"7,405,354"
Alanis Morissette,"7,201,702","-28,090",1144,"7,568,383"
AndrÃ©s Calamaro,"7,196,124","-4,058",1144,"7,200,182"
Dhanush,"7,195,908","1,308",1119,"7,751,673"
Social House,"7,183,419","-13,620",1176,"7,198,904"
BM,"7,178,472","4,254",1308,"7,178,472"
Chelsea Cutler,"7,176,118","51,331",968,"8,044,298"
Father John Misty,"7,173,121","12,356",1320,"7,173,121"
Tochi Raina,"7,160,325","-13,424",955,"8,968,139"
The All-American Rejects,"7,155,666",-750,1216,"7,195,721"
Ankit Tiwari,"7,150,276","-3,670",986,"8,733,054"
Arunraja Kamaraj,"7,148,230","5,223",1325,"7,148,230"
Alex Rose,"7,142,587","1,999",1273,"7,160,726"
Fatboy Slim,"7,141,845","-31,819",1083,"7,929,652"
Banda El Recodo,"7,137,912","5,212",1086,"7,797,977"
Rick Astley,"7,133,112","6,507",1268,"7,250,418"
Pol Granch,"7,122,367","-38,994",1266,"7,360,041"
Luciano,"7,114,338","-39,746",829,"9,205,446"
Irene Cara,"7,114,257","-9,489",1232,"7,360,429"
Gulzar,"7,112,796","9,950",1333,"7,112,796"
Ivan Cornejo,"7,112,184","-40,522",1192,"7,263,609"
Gloria Gaynor,"7,109,687","14,432",1210,"7,425,270"
The Kinks,"7,103,888","2,254",1256,"7,248,531"
Gente De Zona,"7,103,169","-2,108",1162,"7,669,082"
The Proclaimers,"7,102,855","-20,049",1315,"7,168,267"
Vijay Prakash,"7,101,591","-7,304",1273,"7,236,211"
Hades66,"7,083,886","-6,140",1340,"7,090,026"
Paulina Rubio,"7,078,202","21,280",1085,"7,335,283"
Eros Ramazzotti,"7,073,325","-20,987",977,"8,893,059"
Travis Barker,"7,071,955","-3,116",855,"9,472,692"
Aaliyah,"7,069,471","11,520",1341,"7,069,471"
Lasso,"7,063,765","-20,006",750,"9,535,035"
CNCO,"7,048,852",213,901,"8,273,953"
Far East Movement,"7,025,256",54,1274,"7,085,093"
AFROJACK,"7,021,172","-22,220",851,"8,640,590"
Idina Menzel,"7,020,457","-4,188",1121,"7,439,845"
TarcÃ­sio do Acordeon,"7,019,652","32,448",1294,"7,179,448"
Brandi Carlile,"7,010,142","15,076",868,"8,790,369"
Kxllswxtch,"7,004,753",261,1131,"7,726,184"
La Joaqui,"7,001,250","-47,168",610,"10,853,959"
Harrdy Sandhu,"6,994,619","8,080",1034,"8,391,170"
All Time Low,"6,993,590","-8,810",1081,"7,476,410"
CafÃ© Tacvba,"6,992,070","-20,568",1324,"7,114,538"
Kausar Munir,"6,991,044","-20,460",1128,"7,851,402"
Surfaces,"6,985,635","28,690",1043,"8,336,270"
Crowded House,"6,974,771","3,600",1315,"6,990,527"
Intocable,"6,973,056","3,074",1182,"6,981,752"
GROUPLOVE,"6,968,705","-31,240",1316,"7,133,022"
Sixpence None The Richer,"6,965,766","19,450",1362,"6,965,766"
Soundgarden,"6,961,415","-2,996",1296,"6,964,411"
Ricky Montgomery,"6,961,044","-29,096",1159,"7,444,216"
Fat Joe,"6,956,966","-1,748",1240,"7,032,533"
Anuradha Paudwal,"6,954,008",920,1366,"6,954,008"
Fiersa Besari,"6,952,560","4,308",1255,"7,295,990"
Melendi,"6,947,912","30,444",1275,"7,018,825"
JT,"6,942,888","75,231",1369,"6,942,888"
Jory Boy,"6,941,873","-9,380",1123,"7,597,345"
Hippie Sabotage,"6,941,785","11,759",1217,"7,129,907"
Angel Y Khriz,"6,938,642","4,706",1240,"6,938,642"
Manoj Muntashir,"6,933,450","-21,971",1014,"8,579,459"
Baby Rasta,"6,928,966","-9,716",609,"10,986,033"
Adolescent's Orquesta,"6,928,491","-18,321",1362,"6,982,829"
Dyamante DJ,"6,928,359","-24,898",1114,"7,955,745"
Calle 24,"6,923,319","322,507",1377,"6,923,319"
Katrina & The Waves,"6,916,936","-18,437",1249,"7,316,639"
Five Finger Death Punch,"6,916,097","-8,105",1192,"7,227,523"
Aditya A,"6,912,215","-22,913",1213,"7,472,939"
Ninho,"6,908,301","-8,267",1193,"7,556,733"
Heuss L'enfoirÃ©,"6,907,181","-17,154",1319,"7,118,046"
Tom Walker,"6,904,341","-12,330",1077,"7,463,462"
Gajendra Verma,"6,900,509","-18,732",1043,"8,429,794"
Mika Singh,"6,899,685","12,772",1199,"7,005,095"
Tinie Tempah,"6,898,942","-13,627",1298,"7,125,677"
NUEKI,"6,896,804","34,812",1387,"6,896,804"
Meet Bros.,"6,896,158","-2,338",1115,"7,980,418"
Europe,"6,894,430","-11,521",1240,"7,290,917"
MC Rogerinho,"6,893,155","72,682",1387,"6,893,155"
Orochi,"6,893,012","-8,227",932,"8,123,927"
Ajaxx,"6,888,729","9,888",1224,"6,888,729"
Salve Malak,"6,886,628","-36,143",1309,"7,138,958"
Willie ColÃ³n,"6,884,967","-10,808",1365,"6,920,664"
Luar La L,"6,876,457","-22,646",1094,"7,351,042"
Don McLean,"6,873,385","-20,310",1117,"7,945,750"
DJ Jeeh FDC,"6,872,417","-58,452",1058,"7,518,377"
Denzel Curry,"6,871,793","-29,058",985,"7,991,365"
$NOT,"6,867,326","-3,625",890,"8,404,075"
Marquinho no Beat,"6,866,543","1,541",1138,"7,627,292"
Ja Rule,"6,865,884","-1,301",1266,"6,925,060"
Zoe Wees,"6,860,027","-15,546",1130,"7,591,811"
Skylar Grey,"6,860,019","27,058",1121,"7,395,698"
twocolors,"6,859,492","34,982",1404,"6,859,492"
Arjun Kanungo,"6,855,585","-2,650",1350,"6,942,671"
London Symphony Orchestra,"6,853,042","5,511",1145,"7,450,279"
Marca MP,"6,850,333","3,546",936,"8,788,069"
The Cars,"6,843,957","9,360",1109,"7,959,787"
Eve,"6,837,499","2,313",1356,"6,837,499"
Hardwell,"6,836,444","-11,627",1070,"7,807,224"
KC & The Sunshine Band,"6,833,764","29,841",1346,"6,976,352"
Culture Club,"6,827,923","6,655",1384,"6,827,923"
Prezioso,"6,824,156","-2,917",1189,"7,614,612"
Don Diablo,"6,822,904","-13,558",1235,"7,058,796"
NBSPLV,"6,813,260","44,353",1415,"6,813,260"
Trevor Daniel,"6,809,162",43,968,"8,057,301"
SLANDER,"6,807,380",-431,1001,"8,719,324"
Yung Gravy,"6,802,418","-5,994",992,"7,845,433"
Tiakola,"6,801,231","113,646",1419,"6,801,231"
G Herbo,"6,799,383","-4,506",1175,"7,665,492"
wave to earth,"6,795,966","58,537",1421,"6,795,966"
D.O.D,"6,795,558","22,981",1362,"6,894,397"
Falling In Reverse,"6,789,582","12,356",1195,"7,541,964"
Matchbox Twenty,"6,789,098","-36,516",1116,"7,950,666"
Ludwig van Beethoven,"6,784,662","16,520",1120,"7,134,059"
YUNGBLUD,"6,779,584","16,991",1022,"7,679,145"
Gloria Groove,"6,774,629","-48,218",1294,"7,167,066"
Naeleck,"6,771,986","44,279",1428,"6,771,986"
Lily Allen,"6,768,399",987,1321,"6,892,058"
Ferrugem,"6,768,151","12,725",1430,"6,768,151"
